Date,Result,Name,Institute
2021-07-17,105.67,Dhruv Agarwal,The Heritage School
2021-07-17,133.85,Vaishakh Kargudri,IISER Pune
2021-07-17,168.03,Yash Jakhmola,IISER Kolkata
2021-08-14,133.87,Vaishakh Kargudri,IISER Pune
2021-08-14,156.53,Yash Jakhmola,IISER Kolkata
2021-08-28,87.97,Kartik Bhide,IISER Thiruvananthapuram
2021-08-28,120.09,Satyam Panchal,Ramjas College
2021-08-28,73.69,Siddhikant Mishra,IISER Kolkata
2021-08-28,141.85,Yash Jakhmola,IISER Kolkata
2021-09-11,73.93,Siddhikant Mishra,IISER Kolkata
2021-09-11,152.38,Yash Jakhmola,IISER Kolkata
2021-12-04,446.94,Abhiram M,IISc
2021-12-04,116.63,Advait Pai,IISc
2021-12-04,126.78,H Cubist,-
2021-12-04,135.02,Saseeth Srilok Majeti,Chinmaya Vidyalaya
2021-12-04,145.34,Yash Jakhmola,IISER Kolkata
2021-12-31,97.44,H Cubist,-
2021-12-31,106.11,Saseeth Srilok Majeti,Chinmaya Vidyalaya
2021-12-31,117.8,Satyam Panchal,Ramjas College
2021-12-31,142.73,Yash Jakhmola,IISER Kolkata
2022-01-22,83.57,Pritam Kumar,RGU
2022-01-22,88.25,H Cubist,-
2022-01-22,90.37,Saseeth Srilok Majeti,Chinmaya Vidyalaya
2022-01-22,105.11,Satyam Panchal,Ramjas College
2022-01-22,133.61,Yash Jakhmola,IISER Kolkata
2022-02-26,77.65,H Cubist,-
2022-02-26,108.43,Samay Saini,-
2022-02-26,111.4,Satyam Panchal,Ramjas College
2022-02-26,115.67,Advait Pai,IISc
2022-02-26,169.54,Achyutan M,IISER Berhampur
2022-02-26,390.78,Aiyan Rashid,-
2022-03-12,120.7,Advait Pai,IISc
2022-03-12,182.79,Achyutan M,IISER Berhampur
2022-03-12,374.78,Aiyan Rashid,-
2022-04-02,72.89,H Cubist,-
2022-04-02,134.29,Advait Pai,IISc
2022-04-02,172.52,Achyutan M,IISER Berhampur
2022-05-14,65.68,H Cubist,-
2022-05-14,166.55,Achyutan M,IISER Berhampur
2022-07-09,62.75,H Cubist,-
2022-07-09,119.95,Vaishakh Kargudri,IISER Pune
2022-08-06,61.51,H Cubist,-
2022-08-06,169.27,Achyutan M,IISER Berhampur
