Date,Result,Name,Institute
2021-07-10,3.6,Neev Shah,IISER Pune
2021-07-10,9.72,Vaishakh Kargudri,IISER Pune
2021-08-21,11.38,H Cubist,-
2021-08-21,3.49,Neev Shah,IISER Pune
2021-08-21,9.9,Vaishakh Kargudri,IISER Pune
2021-09-04,8.66,H Cubist,-
2021-09-04,14.74,Mayank Agarwal,IISER Berhampur
2021-09-04,5.17,Neev Shah,IISER Pune
2021-09-04,12.82,Yash Jakhmola,IISER Kolkata
2021-09-18,6.87,H Cubist,-
2021-09-18,14.05,Mayank Agarwal,IISER Berhampur
2021-09-18,4.22,Neev Shah,IISER Pune
2021-09-18,8.91,Vaishakh Kargudri,IISER Pune
2021-09-18,13.54,Yash Jakhmola,IISER Kolkata
2021-10-09,6.04,H Cubist,-
2021-10-09,14.57,Mayank Agarwal,IISER Berhampur
2021-10-09,6.94,Vaishakh Kargudri,IISER Pune
2021-10-09,9.84,Yash Jakhmola,IISER Kolkata
2021-12-11,10.19,Ameya Mane,IISER Pune
2021-12-11,9.38,Saseeth Srilok Majeti,Chinmaya Vidyalaya
2021-12-11,7.65,Vaishakh Kargudri,IISER Pune
2021-12-11,22.03,Yash Jakhmola,IISER Kolkata
2022-01-08,8.36,Saseeth Srilok Majeti,Chinmaya Vidyalaya
2022-01-08,25.0,Amoghavarsha A V,IISER Pune
2022-01-29,8.02,Hemachandar,Jamal Mohamed College
2022-01-29,8.08,Saseeth Srilok Majeti,-
2022-01-29,13.81,Mayank Agarwal,IISER Berhampur
2022-02-19,6.02,Aritra Bose,Don Bosco Liluah
2022-02-19,6.54,Saseeth Srilok Majeti,-
2022-02-19,14.22,Mayank Agarwal,IISER Berhampur
2022-02-19,17.29,Yash Jakhmola,IISER Kolkata
2022-03-12,5.73,Samay Saini,-
2022-03-12,11.66,Aiyan Rashid,-
2022-03-12,16.28,Amoghavarsha A V,IISER Pune
2022-05-07,7.83,Aiyan Rashid,-
2022-05-07,12.35,Amoghavarsha A V,IISER Pune
2022-05-07,21.38,Achyutan M,IISER Berhampur
2022-05-29,7.59,Aiyan Rashid,-
2022-05-29,29.7,Sasi Mitra,IISER Tirupati
2022-05-29,DNF,Sharanya Bhowmik,Springdale High School
2022-07-23,5.57,H Cubist,-
2022-07-23,8.88,Vaishakh Kargudri,IISER Pune
2022-07-23,13.46,Amoghavarsha A V,IISER Pune
2022-07-23,15.74,Armaan Chaudhary,BGSNPS
2022-08-13,8.43,Sharanya Bhowmik,Springdale High School
2022-08-13,13.36,Mayank Agarwal,IISER Berhampur
2022-08-13,15.76,Armaan Chaudhary,BGSNPS
2022-09-03,9.61,Vaishakh Kargudri,IISER Pune
2022-09-03,9.67,Sharanya Bhowmik,Springdale High School
2022-09-03,13.32,Aiyan Rashid,-
2022-09-03,16.11,Armaan Chaudhary,BGSNPS
2022-09-17,9.06,Sharanya Bhowmik,Springdale High School
2022-09-17,15.22,Armaan Chaudhary,BGSNPS
2022-12-03,4.86,Ayush Patnaik,Indus Valley World School
2022-12-03,6.38,Raghav Vishwanath,-
2022-12-03,8.76,Vaishakh Kargudri,IISER Pune
2022-12-03,15.43,Amoghavarsha A V,IISER Pune
2022-12-03,15.49,Armaan Chaudhary,BGSNPS
2022-12-03,21.65,Priyangshu Datta,Hariyana Vidya Mandir
2022-12-18,11.49,Jagannath Saha,AAS
2022-12-18,15.35,Amoghavarsha A V,IISER Pune
2023-02-18,4.61,Ayush Patnaik,Indus Valley World School
2023-02-18,8.22,Jagannath Saha,AAS
2023-02-18,8.79,Shreyash Boddepalli,everwin vidhyashram
2023-02-18,14.79,Armaan Chaudhary,BGSNPS
2021-03-12,3.68,Ayush Patnaik,IVWS
2021-03-12,6.86,Mitali B,Symbiosis College of Arts and Commerce
2021-03-12,6.89,Sharanya Bhowmik,Springdale High School
2021-03-12,8.27,Jagannath Saha,AAS
2021-03-12,14.65,Armaan Chaudhary,BGSNPS
2022-05-20,3.84,Ayush Patnaik,IVWS
2022-05-20,11.19,Snehal Shirpurkar,Ashoka University
2022-05-20,12.46,Sarthak Jana,IISER Kolkata
